3,3,20,10,7,13,10,2,5,6,12,11,19,7,8,5,21,5,12134,1754554425.9798524
37,4,8,2,5,2,4,8,2,3,5,18,15,11,11,51,2,17,12135,1754554425.9825788
20,12,28,2,9,0,1,4,8,2,34,13,1,1,5,11,26,9,12136,1754554425.9844246
3,1,4,2,1,8,3,7,6,4,6,1,18,23,0,7,31,10,12134,1754554426.313295
6,3,12,7,2,0,4,9,5,1,6,3,13,4,9,3,10,18,12135,1754554426.3152833
16,1,4,9,5,3,3,2,13,2,9,5,13,12,3,2,20,4,12136,1754554426.3172393
1,1,13,6,2,41,6,4,13,3,0,2,10,30,9,11,0,6,12134,1754554426.648514
37,5,16,17,2,19,3,15,6,6,15,7,12,3,2,19,9,3,12135,1754554426.6506355
4,10,1,12,9,3,3,2,6,2,4,2,10,9,6,1,7,21,12136,1754554426.6526191
19,13,2,6,10,20,9,1,20,4,4,7,10,4,22,1,28,5,12134,1754554426.9811225
43,8,7,4,0,16,0,15,25,5,3,4,5,15,6,20,47,5,12135,1754554426.9832537
4,3,0,3,12,3,4,5,7,1,3,3,11,3,7,6,12,13,12136,1754554426.9931967
30,13,18,7,26,18,1,18,8,3,10,12,17,4,1,14,12,28,12134,1754554427.3176875
30,2,2,7,3,1,3,1,23,0,8,9,7,1,3,21,29,4,12135,1754554427.3186889
1,11,10,7,2,7,5,1,10,6,25,2,7,10,7,10,16,6,12136,1754554427.3246927
20,7,4,33,18,22,1,6,4,7,6,13,10,13,30,6,14,16,12134,1754554427.650383
24,17,6,1,1,2,8,10,4,15,10,8,13,13,15,12,17,1,12135,1754554427.6513875
9,0,0,4,0,6,3,2,4,5,22,10,1,3,4,1,4,6,12136,1754554427.6553898
3,2,5,18,12,15,6,8,7,7,23,4,3,24,27,4,2,2,12134,1754554427.9850845
37,19,9,4,2,4,7,8,1,14,1,28,11,2,15,38,12,3,12135,1754554427.9870813
7,6,9,6,14,2,6,3,11,1,4,13,3,1,4,10,3,5,12136,1754554427.9920893
5,7,38,12,8,3,0,3,1,3,21,8,22,21,8,3,23,19,12134,1754554428.3202212
32,9,6,1,8,1,1,8,5,8,0,19,2,9,2,2,1,12,12135,1754554428.321221
5,5,1,2,9,6,3,3,7,11,8,11,0,6,10,3,19,4,12136,1754554428.3232174
3,19,8,11,9,0,2,10,4,1,15,12,5,3,7,6,14,12,12134,1754554428.6540928
6,16,7,6,4,5,9,1,6,5,7,1,1,9,1,46,3,16,12135,1754554428.6560886
9,4,4,11,6,2,14,1,5,14,16,3,5,4,3,3,14,6,12136,1754554428.6581888
0,16,20,16,4,6,0,15,7,14,3,5,23,31,3,25,17,9,12134,1754554428.9870224
